company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Wiz.ai","wiz.ai","Singapore","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Conversational AI platform for healthcare."
"Ava Security","avasecurity.com","Australia","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","call center","Integrates with call centers for audio analytics and security."
"Glean AI","glean.ai","India","APAC","technology","ai-agent","validated","tier3","70","","","","Automated invoice processing using AI."
"Sensei","sensei.tech","India","APAC","technology","ai-agent","validated","tier3","70","","","","Conversational AI platform for customer service automation."
"Osome","osome.com","Singapore","APAC","fintech","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer support","AI-powered accounting and compliance services, automating customer interactions."
"Aider","aider.ai","New Zealand","APAC","fintech","voice-ai","validated","tier3","70","","","","AI-powered virtual assistant for small businesses."
"Paper.id","paper.id","Indonesia","APAC","fintech","ai-agent","validated","tier3","70","","","","B2B invoicing and payment platform."
"Docquity","docquity.com","Singapore","APAC","healthtech","voice-api","validated","tier3","70","","","","Professional network for doctors in Southeast Asia."
"MoEngage","moengage.com","India","APAC","technology","ai-agent","validated","tier3","70","","","","Customer engagement platform with AI-powered personalization."
"Darwinbox","darwinbox.com","India","APAC","technology","ai-agent","validated","tier3","70","","","","Human resources management system with conversational AI chatbot."
"Leena AI","leena.ai","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Provides an AI-powered virtual assistant for HR, which can handle employee queries via voice and text."
"Yellow.ai","yellow.ai","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Customer service automation platform using AI-powered voice bots."
"Gupshup","gupshup.io","India","APAC","technology","ai-agent","validated","tier3","70","","","","Conversational messaging platform."
"CometChat","cometchat.com","India","APAC","technology","voice-api","validated","tier2","70","Platform builders embedding telephony / voice automation","embedded_voice_platforms","calling","In-app voice and video chat platform"
"Medipass Solutions","medipass.com.au","Australia","APAC","healthtech","voice-api","validated","tier3","30","","","","Digital payment platform for healthcare, streamlining payments with AI automation."
"AccuRx","accurx.com","AU","APAC","healthcare","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","appointment","Patient communication and appointment management platform for healthcare providers."
"MyDoc","mydoc.asia","Singapore","APAC","healthtech","voice-api","validated","tier3","30","","phone_workflow","MyDoc facilitates virtual consultations, including phone-based appointments, for remote healthcare access.","Telehealth platform offering remote consultations and healthcare services."
"Practo","practo.com","India","APAC","healthtech","voice-api","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","appointment","Online doctor consultation and appointment booking platform."
"CXCentral","cxcentral.com.au","AU","APAC","technology","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","bpo","CX Central is a call centre industry news and information site."
"CX Moments","cxmoments.com","Singapore","APAC","any","voice-ai","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","CX automation platform with AI-powered voice capabilities for customer engagement."
"Sigmoid","sigmoid.com","India","APAC","any","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Data science and AI solutions provider that helps businesses automate customer service and sales processes"
"Healint","healint.com","SG","APAC","healthcare","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","patient","Migraine management app, likely use for patient communication and support."
"CogniAssist","cogniassist.com","AU","APAC","healthcare","ai-agent","unverified","tier3","30","","phone_workflow","NDIS Provider","Cognitive assessment and support platform, potentially using voice for interaction."
"CXApp","cxapp.com","India","APAC","any","voice-ai","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","cx","Digital workplace experience platform."
"Aryza","aryza.com","AU","APAC","fintech","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","collections","Debt management and collections software."
"Opus Research","opusresearch.net","AU","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","contact center automation","Customer service solution to automate conversations and deflect inbound calls"
"ActivePipe","activepipe.com","AU","APAC","technology","voice-api","validated","tier3","70","","","","CRM for real estate agents offering SMS marketing capabilities and phone integrations."
"Inomial","inomial.com","AU","APAC","technology","voice-api","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","phone support","Billing platform with customer service via phone."
"PandaDoc","pandadoc.com","Australia","APAC","any","voice-ai","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","phone support","Document automation software with phone support"
"Nabla Technologies","nabla.com","AU","APAC","healthtech","voice-ai","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","patient","Healthtech focused on integrating AI into Healthcare workflows."
"Instacare","instacare.com.au","Australia","APAC","healthtech","voice-api","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","appointment","Healthcare management software offering phone and SMS appointment reminders."
"Haptik","haptik.ai","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Conversational AI platform for building virtual assistants and chatbots with voice support."
"Uniphore","uniphore.com","India","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Provides AI-powered solutions for contact centers, including speech analytics and automation."
"Affinidi","affinidi.com","SG","APAC","fintech","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","verification","Decentralized identity solutions using blockchain."
"BetterPlace","www.betterplace.com","IN","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","scheduling","Workforce management platform for blue-collar employees."
"SquadStack","www.squadstack.com","IN","APAC","fintech","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","collections","Sales acceleration platform for financial services."
"Innovaccer","innovaccer.com","IN","APAC","healthcare","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Uses virtual assistants within the healthcare system, EHR integrations. It's primarily data analytics but moves in the direction of AI agents and EHR integrations mean potential voice applications."
"Signzy","signzy.com","IN","APAC","fintech","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","verification","Provides AI-powered digital KYC and onboarding solutions; voice verification is a potential application."
"Cogno AI","cognoai.com","India","APAC","technology","ai-agent","unverified","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","AI-powered customer service automation platform."
