company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Aveni.ai","aveni.ai","UK","EMEA","fintech","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","speech analytics","Provides AI-powered solutions for financial services, including call monitoring and compliance."
"Babelforce","babelforce.com","Germany","EMEA","any","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voicebot","No-code automation platform for contact centers."
"Creative Virtual","creativevirtual.com","UK","EMEA","any","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Virtual agent solutions for customer self-service."
"Yuma","yuma.ai","UK","EMEA","HR Tech","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer service","AI powered virtual assistant for scheduling calls"
"Vocads","vocads.com","Denmark","EMEA","Any","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational voice ai","AI-powered outbound calling for lead generation."
"Calabrio","calabrio.com","Sweden","EMEA","Any","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","AI-driven voice analytics"
"Omilia","omilia.com","Greece","EMEA","any","voice-ai","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for customer service automation."
"Puzzel","puzzel.com","Norway","EMEA","any","voice-ai","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","workforce management","Cloud-based contact center solution with AI-powered automation."
"DeepZen","deepzen.io","UK","EMEA","any","voice-api","unverified","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice technology","AI voice technology for audiobooks and digital content."
"Rasa","rasa.com","Germany","EMEA","any","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides an open-source conversational AI framework for building contextual AI assistants."
"boost.ai","boost.ai","Norway","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Offers a conversational AI platform for automating customer interactions."
"Spitch","spitch.com","Switzerland","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voicebot","Provides enterprise voice AI solutions, including voicebots and speech analytics."
"Slang.ai","slang.ai","ES","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai assistant","Slang.ai is a voice assistant for enterprise contact centers."
"Webio","webio.com","IE","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for credit, collections and customer engagement, specializing in automated agent interactions."
"paua.co","paua.co","Germany","EMEA","ai-voice","ai-agent","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","customer service","EV charging payment solution with phone based support and account management."
"Vokode","vokode.com","GB","EMEA","ai","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai platform","Voice AI platform for building custom voice assistants."
"Symbl.ai","symbl.ai","GB","EMEA","ai","voice-api","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai agent","Builds voice & text AI for real-time and post-call conversation intelligence"
"Luware","luware.com","CH","EMEA","finance","ai-agent","validated","tier1","100","Vertical software with phone-native workflows","vertical_phone_workflows","call recording","Customer service solutions with focus on Microsoft Teams integration and voice."
"Sidetrade","sidetrade.com","FR","EMEA","finance","voice-api","validated","tier1","100","Vertical software with phone-native workflows","vertical_phone_workflows","accounts receivable","Uses AI to automate and optimize the order-to-cash process, including collections calls."
"Lead Connect","leadconnect.io","GB","EMEA","sales","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","outbound dialer","Outbound dialer that automates calling"
"Auris AI","auris.ai","UK","EMEA","customer service","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","voice ai platform","AI-powered customer service platform focusing on voice and chat automation."
"Agnitio","agnitio.com","DK","EMEA","pharmaceutical","voice-api","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","digital engagement","Provides AI-powered solutions for medical and pharmaceutical sales reps"
"Sabio","sabiogroup.com","GB","EMEA","any","voice-api","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","CX transformation services with contact center focus and AI offerings."
"Content Guru","contentguru.com","UK","EMEA","any","voice-api","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center","Cloud Contact Center provider with significant call handling features."
"Calldesk","calldesk.ai","France","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","CallDesk is a company that develops AI voice agents for contact centers."
"Ava AI","ava.me","UK","EMEA","service operations","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer service","AI powered virtual assistant for phone calls and meetings"
"LeadDesk","leaddesk.com","FI","EMEA","ai-voice","contact-center","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","Cloud contact center platform with built in AI to assist call-center agents"
"Alcméon","alcmeon.com","FR","EMEA","contact-center","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","messaging platform","AI-powered customer service platform."
"HumanFirst","humanfirst.ai","UK","EMEA","cross-vertical","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai","HumanFirst helps analyze conversation data."
"Rulai","rul.ai","UK","EMEA","customer service","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","AI-powered customer service automation."
"Smartcaller","smartcaller.io","Germany","EMEA","ai-voice","ai-agent","unverified","tier3","30","","telephony_signal","call center software","Call center software focused on automation"
"Connectel","connectel.net","NO","EMEA","contact-center","contact-center","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center","Cloud contact center solutions with voice focus."
"Cirrus","cirrus.es","ES","EMEA","contact-center","contact-center","unverified","tier3","50","","phone_workflow","Cloud Contact Center Solution","Cloud contact center solutions."
"Talkwalker","talkwalker.com","LU","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","speech analytics","Consumer intelligence and analytics, with some speech analytics functionality."
"i2CAT","i2cat.net","ES","EMEA","ai-voice","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Research center working on voice technologies and conversational AI."
"Sensely","sensely.com","UK","EMEA","healthcare","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","AI-powered virtual health assistant for patient engagement."
"Phonal AI","phonal.ai","FR","EMEA","customer-service","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","voice agent","AI powered automation for customer service interactions."
"Aflorithmic","aflorithmic.ai","UK","EMEA","ai-voice","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voice synthesis","Generates high-quality voice content using AI, focusing on audio production for various applications."
