company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"SoundHound AI","soundhound.com","South Korea","APAC","automotive","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai","Develops voice AI platform for automotive industry."
"Advanced.ai","advanced.ai","Singapore","APAC","fintech","ai-agent","unverified","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","verification","AI-powered identity verification and risk management with voice biometrics."
"Gnowbe","gnowbe.com","Singapore","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","Uses AI voice agents for employee training."
"Voxta","voxta.ai","Australia","APAC","technology","ai-agent","unverified","tier3","30","","","","Offers AI-powered voice assistants for customer service and contact centers."
"Ozonetel","ozonetel.com","IN","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai","Cloud contact center platform with AI-driven automation features."
"Yellow.ai","yellow.ai","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Provides a conversational AI platform for building virtual assistants and chatbots for various business functions."
"Qiscus","qiscus.com","Indonesia","APAC","all","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Customer Engagement platform with chatbots and conversational AI"
"Skit.ai","skit.ai","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","AI-first SaaS voice automation platform transforming customer experience and contact centers."
"Quantiphi","quantiphi.com","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","Applies machine learning to enterprise analytics; potential in voice agent support."
"HappyFox","happyfox.com","India","APAC","technology","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer support","Help desk software with chatbot and AI integration to automate customer support."
"Rezo.ai","rezo.ai","IN","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","AI-powered contact center platform that automates customer support tasks."
"Aisera (Regional)","aisera.com","India","APAC","itsm","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer support","AI-driven service experience platform, including virtual assistants. Has a presence in APAC."
"Haptik","haptik.ai","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Focuses on conversational AI platform for building voice and chat assistants."
"Uniphore (Regional)","uniphore.com","India","APAC","contact-center","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Conversational AI and automation platform for contact centers, including voice analysis and automation."
"Observe.AI (Regional)","observe.ai","India","APAC","contact-center","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","AI-powered contact center platform. Has headquarters in India."
"Openstream.ai","openstream.ai","India","APAC","customer-service","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Offers AI-powered virtual assistants that handle customer conversations over voice and chat."
"Qure.ai","qure.ai","India","APAC","healthtech","voice-ai","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","patient","AI solutions for healthcare, some applications might include voice-based assistance for doctors or patients."
"Oloid AI","oloid.ai","Singapore","APAC","Security","ai-agent","unverified","tier3","30","","","","Builds identity verification solutions, including voice recognition for secure access control."
"Signzy","signzy.com","IN","APAC","fintech","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","verification","Provides AI-powered digital KYC and onboarding solutions; voice verification is a potential application."
"Uniphore","uniphore.com","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Offers conversational AI and automation solutions for customer service."
"Spiking AI","spiking.ai","Singapore","APAC","fintech","ai-agent","unverified","tier3","30","","","","Provides AI voice technology for remote patient monitoring and telehealth."
"Remarkable","remarkable.ai","Australia","APAC","marketing","ai-agent","unverified","tier3","30","","","","An AI-powered recruiting platform that helps companies automate candidate screening and selection."
"OpenTalk","opentalk.ai","India","APAC","contact center","ai-agent","unverified","tier3","30","","","","AI-powered customer service platform with voice agents for automated support."
"HCLTech","hcltech.com","India","APAC","BPO","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","outsourc","Technology company offering AI-based voice solutions for diverse industries."
"Expertflow","expertflow.com","Switzerland","EMEA","contact center","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Contact center solution provider with AI-powered voice bots for automated interactions."
"Uniphore (APAC)","uniphore.com","India","APAC","contact center","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Offers a conversational AI platform with voice capabilities for enhancing customer experiences."
"CallMiner (APAC)","callminer.com","Australia","APAC","customer service","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","AI-powered platform for analyzing customer conversations and improving contact center performance."
"BotTalk","bottalk.com","Singapore","APAC","ecommerce","ai-agent","unverified","tier3","30","","","","Voice assistant solutions for commerce, including order management."
"Emotech","emotech.ai","China","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Developer of Olly, a robot with personality and voice interaction capabilities."
"Openstream","openstream.com","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Offers conversational AI platform for building virtual assistants and chatbots, including voice-based agents."
"Artificial Solutions","artificial-solutions.com","Singapore","APAC","general","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Offers a conversational AI platform that supports voice and text interactions."
"Leena AI","leena.ai","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","AI powered employee experience platform for HR, includes voice based features."
"ADVANCE.AI","advance.ai","Singapore","APAC","fintech","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","verification","AI solutions for fraud prevention and digital identity, potentially using voice biometrics."
"Niramai","www.niramai.com","IN","APAC","healthcare","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","appointment","AI-powered breast cancer screening, voice assistants could be used for appointment scheduling and patient communication."
"CoRover.ai","corover.ai","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Offers AI-powered chatbots and voice assistants for customer support and engagement."
"Observe.AI","observe.ai","India","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","AI-powered platform for conversation intelligence in contact centers."
"Avaamo","avaamo.ai","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","Offers AI-powered conversational interfaces, including voice agents, for enterprise use cases."
"VinBrain","vinbrain.net","Vietnam","APAC","healthcare","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","patient","AI solutions for healthcare, including voice-based diagnostic support and patient communication."
"UBiqube","ubiqube.com","Israel","MENA","it","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Provides multi-domain orchestration via AI agent for network automation"
"SoundHound","soundhound.com","US","AMER","automotive","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai","Independent voice AI platform that enables businesses to create conversational experiences."
"ASAPP","asapp.com","US","AMER","contact-center","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai","Uses AI to improve agent performance and customer experience in contact centers. Voice AI heavily involved."
"AI Rudder","airudder.com","Singapore","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai","Provides multilingual AI customer service solutions including voice-based support for e-commerce and other industries."
"Lang.ai","lang.ai","Spain","EMEA","customer-service","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","cx","AI tool to identify customer issues & automate responses."
"Xdroid","xdroid.com","AU","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Provides AI-powered speech analytics and agent assistance for contact centers."
"Observe.AI (Now part of Alida)","www.alida.com","India","APAC","Contact Center","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Provides AI-powered insights for contact centers, including speech analytics and agent coaching, now part of Alida."
"Spixii","spixii.com","UK","EMEA","insurtech","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Develops AI-powered chatbots for the insurance industry, automating customer service and sales processes."
"Nextbillion.ai","nextbillion.ai","Singapore","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Uses AI in location-based services; AI agent use is implicit but can be added on top of existing services for driver communication."
"DataRobot","datarobot.com","Singapore","APAC","data-science","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","Provides an enterprise AI platform with capabilities for building and deploying AI models, including voice agents."
"SenseTime","sensetime.com","China","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","AI platform with voice recognition and NLP capabilities, potentially used for voice agents in various applications."
"CloudMile","cloudmile.com","Taiwan","APAC","cloud","ai-agent","unverified","tier3","30","","","","Provides AI and cloud solutions, potentially including voice-based applications."
"Reverie Language Technologies","reverieinc.com","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Provides language technologies for voice and text, enhancing multilingual AI agents."
"Ava Technologies","ava.me","Singapore","APAC","Contact Center","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","AI-powered voice agents for customer service automation in Singapore."
"EMQ","emqx.com","China","APAC","IoT","iot","validated","tier3","70","","","","IoT infrastructure platform with MQTT support, suitable for integrating voice-controlled IoT devices."
"Wiz.ai","wiz.ai","Singapore","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","Develops AI-driven voice agents specifically for sales and marketing in the financial services industry."
"Quantela","quantela.com","India","APAC","technology","ai-agent","validated","tier3","70","","","","Provides IoT solutions for smart cities; could incorporate voice-controlled infrastructure."
"Ava","ava.me","AU","APAC","technology","ai-agent","unverified","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","AI-powered customer service platform with voice agent capabilities."
"Netcore Cloud","netcorecloud.com","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","Marketing automation platform implementing AI voice agents for customer engagement."
"Zoho","zoho.com","IN","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","Business software suite offering AI-powered voice agents for customer service and sales."
"Workato","workato.com","Singapore","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai","Integration Platform that allows integration of Voice AI platforms with other SaaS products"
"AIS Vision","aisvision.com","China","APAC","manufacturing","ai-agent","unverified","tier3","30","","","","AI platform to connect physical assets with voice AI for remote management"
