company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Voxta","voxta.ai","Australia","APAC","technology","ai-agent","unverified","tier3","30","","","","Offers AI-powered voice assistants for customer service and contact centers."
"Oloid AI","oloid.ai","Singapore","APAC","Security","ai-agent","unverified","tier3","30","","","","Builds identity verification solutions, including voice recognition for secure access control."
"Spiking AI","spiking.ai","Singapore","APAC","fintech","ai-agent","unverified","tier3","30","","","","Provides AI voice technology for remote patient monitoring and telehealth."
"Remarkable","remarkable.ai","Australia","APAC","marketing","ai-agent","unverified","tier3","30","","","","An AI-powered recruiting platform that helps companies automate candidate screening and selection."
"OpenTalk","opentalk.ai","India","APAC","contact center","ai-agent","unverified","tier3","30","","","","AI-powered customer service platform with voice agents for automated support."
"BotTalk","bottalk.com","Singapore","APAC","ecommerce","ai-agent","unverified","tier3","30","","","","Voice assistant solutions for commerce, including order management."
"CloudMile","cloudmile.com","Taiwan","APAC","cloud","ai-agent","unverified","tier3","30","","","","Provides AI and cloud solutions, potentially including voice-based applications."
"EMQ","emqx.com","China","APAC","IoT","iot","validated","tier3","70","","","","IoT infrastructure platform with MQTT support, suitable for integrating voice-controlled IoT devices."
"Quantela","quantela.com","India","APAC","technology","ai-agent","validated","tier3","70","","","","Provides IoT solutions for smart cities; could incorporate voice-controlled infrastructure."
"AIS Vision","aisvision.com","China","APAC","manufacturing","ai-agent","unverified","tier3","30","","","","AI platform to connect physical assets with voice AI for remote management"
"Yidu Cloud","yiducloud.com","China","APAC","healthcare","ai-agent","unverified","tier3","30","","","","Cloud healthcare management platform leveraging voice to provide access to healthcare resources"
"Verint Systems Japan","verint.co.jp","Japan","APAC","contact center","ai-agent","unverified","tier3","30","","","","Verint subsidiary that offers solutions for customer engagement including voice-based analytics and automation."
"Remarkable AI","remarkable.ai","Australia","APAC","contact center","ai-agent","unverified","tier3","50","","","","Australian company using AI to analyze and improve call center performance, including voice analysis."
"Companions","companions.ai","Japan","APAC","customer service","ai-agent","unverified","tier3","30","","","","Provides AI-powered customer service solutions with voice capabilities."
"Intersect","intersect.works","Australia","APAC","enterprise","ai-agent","unverified","tier3","30","","","","Digital worker platform using AI to automate tasks, including voice-driven automation."
"Senti AI","senti.ai","Philippines","APAC","customer-service","ai-agent","unverified","tier3","30","","","","Builds AI solutions, including voice recognition and natural language processing."
