company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"SentiOne","sentione.com","PL","EMEA","any","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","AI-powered customer service automation platform with voicebot capabilities."
"OneReach.ai","onereach.com","","EMEA","","ai-agent","customer","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides a conversational AI platform for automating customer interactions across various channels, including voice."
"By Miles","bymiles.co.uk","UK","EMEA","insurtech","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai-powered voice","Pay-by-mile car insurance using connected car data."
"Voiceweb","voiceweb.eu","Netherlands","EMEA","","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Agent Assist. with Generative AI (GPT models) for suggesting the best-possible responses to contact center agents during their calls and chats. · Voice ..."
"Virtual Agent Suite","puzzel.com","Norway","EMEA","","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Smarter CX. Powered by AI. Give your customers the fast, tailored support they deserve with our suite of AI agents for chat, voice and email solutions."
"Voice AI Agents for Enterprise Contact Centers","teneo.ai","Sweden","EMEA","","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Replicant provides a powerful platform for automating high volume customer service conversations. It has limited successful case studies with global ...

99% Accuracy Across 86+ Languages. Native CCaa"
"Strategic BPO Company Services","euroanswer.co.uk","UK","EMEA","","voice-ai","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","bpo","Yes. Through our Agent Assist technology, we provide Live Translation and real-time knowledge retrieval. This allows us to scale your support globally in 30+ ..."
"Spitch","spitch.com","Switzerland","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Develops enterprise solutions powered by conversational AI, including voicebots and chatbots for customer service."
"Vocads","vocads.com","Denmark","EMEA","Any","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational voice ai","AI-powered outbound calling and dialing automation."
"Anytime Fitness UK","anytimefitness.co.uk","UK","EMEA","healthcare","voice-api","validated","tier2","70","Platform builders embedding telephony / voice automation","embedded_voice_platforms","voice api","Gym franchise with a need for member communication and potential for AI-powered fitness guidance."
"United Call Centers: Home","unitedcallcenters.eu","HU","EMEA","","voice-ai","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","bpo","Your 24/7 AI customer service agent for voice and text, scalable, flexible, and production-ready. Handles overflow, after-hours support, and complex cases with ..."
"AI Voice Agent in Central Europe: Poland, Czech Republic ...","ainora.lt","Lithuania","EMEA","","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","These markets have unique characteristics: growing labor costs that make automation increasingly attractive, multilingual tourist traffic, and ..."
"Yuma","yuma.ai","UK","EMEA","HR Tech","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","AI-powered customer service agents that handle customer inquiries via voice and chat."
"Clarity AI","clarity.ai","Spain","EMEA","hr-tech","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","AI-powered voice agent for customer service, automating call center tasks."
"Dixa","dixa.com","Denmark","EMEA","customer support","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai-powered voice","Customer service platform with AI-powered voice capabilities for automating phone support."
"Deepset","deepset.ai","Germany","EMEA","general","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Offers Haystack, an open-source framework used to build AI agents with voice."
