company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"CallPage","callpage.io","Poland","EMEA","Any","voice-api","validated","tier3","70","","","","CallPage is a web call-back automation tool. It connects potential customers with sales representatives in 28 seconds."
"Sidetrade","sidetrade.com","FR","EMEA","finance","voice-api","validated","tier3","70","","","","AI-powered platform for automating customer financial interactions, including phone calls."
"Auris AI","auris.ai","UK","EMEA","customer service","ai-agent","validated","tier3","90","","","","Automated compliance for customer interactions, including call analysis."
"Cognitive Voice","cognitivevoice.io","Germany","EMEA","ai-voice","ai-agent","unverified","tier3","50","","voice_agent","AI-Powered platform for business that revolutionizes how you connect with your customers.","AI powered platform for automated call centers"
"AIGIS","aigis.io","France","EMEA","ai-voice","ai-agent","validated","tier3","70","","","","Fraud prevention platform that uses voice biometrics."
"Apiax","apiax.com","CH","EMEA","fintech","voice-api","validated","tier3","100","","","","Regulatory compliance platform using voice for secure verification."
"Smartcaller","smartcaller.io","Germany","EMEA","ai-voice","ai-agent","unverified","tier3","30","","voice_agent","AI powered virtual assistant that handles business phone calls","AI powered virtual assistant for business calls."
"ReadSpeaker","readspeaker.com","SE","EMEA","ai-voice","voice-api","validated","tier3","70","","","","Text-to-speech solutions, converting written content into spoken audio."
"Modjo","modjo.ai","FR","EMEA","sales","ai-agent","validated","tier3","70","","","","Conversation intelligence platform that analyzes sales calls and meetings."
"Vocdoni","vocdoni.io","Estonia","EMEA","governance","voice-api","validated","tier3","70","","","","Secure voting platform with voice authentication options."
"iWoca","iwoca.co.uk","United Kingdom","EMEA","finance","phone-workflow","validated","tier3","70","","","","Iwoca provides finance, using phone calls for verification."
"quantilope","quantilope.com","Germany","EMEA","market research","voice-api","validated","tier3","100","","","","AI-powered consumer research platform with automated voice analytics for customer feedback."
"Aura Fertility","aurafertility.com","UK","EMEA","healthcare","voice-api","unverified","tier3","30","","phone_workflow","Automated appointment reminders to make it easy for patients.","Fertility clinic management software with appointment reminders and patient communication features."
"WebDoctor","webdoctor.ie","Ireland","EMEA","healthcare","phone-workflow","validated","tier3","100","","","","Offers telemedicine services that include phone consultations with doctors and healthcare professionals."
"Easypark","easypark.com","Sweden","EMEA","service operations","phone-workflow","validated","tier3","70","Contact-center / BPO / CX operators","","","App includes phone-based customer support as a core workflow for parking assistance."
"PayU","payu.com","Czech Republic","EMEA","fintech","phone-workflow","validated","tier3","90","","","","Provides phone-based customer service as part of its payment processing solutions."
"Sonosapiens","sonosapiens.com","France","EMEA","call-center","ai-agent","unverified","tier3","30","","voice_agent","AI Customer Interaction Management and Conversation Intelligence","AI agent for customer conversations"
"Yogo","yogo.fr","France","EMEA","Fintech","voice-api","unverified","tier3","50","","voice_agent","Voice interface to automatically manage expenses","Real-time expense management solution using voice"
"Axe AI","axeai.com","UK","EMEA","customer service","ai-agent","unverified","tier3","30","","voice_agent","Custom Voice AI Solutions.","Develops custom voice AI solutions for businesses."
"Impact Healthcare","impacthealthcare.co.uk","GB","EMEA","healthcare","contact-center","unverified","tier3","30","","phone_workflow","Phone line workflow","Healthcare providers"
