company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Calabrio","calabrio.com","Sweden","EMEA","Any","ai-agent","validated","tier3","70","","","","Workforce performance and customer experience solutions."
"Omilia","omilia.com","Greece","EMEA","any","voice-ai","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for contact centers."
"Sabio Group","sabiogroup.com","UK","EMEA","any","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai solution","Customer experience and contact center solutions provider with AI and automation."
"Rasa","rasa.com","Germany","EMEA","any","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Open source conversational AI platform."
"boost.ai","boost.ai","Norway","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for automating customer service."
"Spitch","spitch.com","Switzerland","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI solutions for customer service and automation."
"Webio","webio.com","IE","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for customer engagement."
"Gnatta","gnatta.com","UK","EMEA","Customer Service","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","ai agent","Customer service platform with AI capabilities for automating responses and understanding customer sentiment."
"Vocale.ai","vocale.ai","UK","EMEA","ai-voice","ai-agent","unverified","tier3","30","","voice_agent","Real-time voice AI platform for sales teams","Real-time voice AI for sales teams."
"Pando","pando.ai","UK","EMEA","healthcare","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai phone","AI-powered phone system for healthcare, automating call workflows."
"Ava AI","ava.me","UK","EMEA","service operations","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voice-first ai","AI agents for customer service"
"Plexus.ai","plexus.ai","France","EMEA","healthcare","ai-agent","unverified","tier3","30","","voice_agent","AI-powered platform for automating tasks in healthcare","Offers an AI-powered platform for automating tasks in healthcare, including voice-based communication."
"Awake.ai","awake.ai","Finland","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","voicebot","AI-powered platform for customer service automation, including voice."
"Conversational Bots","accenture.com","Ireland","EMEA","ai-voice","voice-ai","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","A conversational bot is a computer program that works automatically and is skilled in communicating through various digital media—including intelligent virtual agents, organizations’ apps, organizatio"
