company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Auris AI","auris.ai","UK","EMEA","customer service","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","speech analytics","Provides AI-powered speech analytics and automation for contact centers."
"Wluper","wluper.com","UK","EMEA","any","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice technology","AI-powered conversational platform for building voice assistants and chatbots."
"Webio","webio.com","IE","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for credit, collections and payments."
"Vocapia Research","vocapia.com","FR","EMEA","any","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","speech recognition","Develops speech recognition and speaker identification technologies."
"Symbl.ai","symbl.ai","GB","EMEA","ai","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai conversation","Conversational intelligence platform that enables developers to build AI-powered communication experiences."
"Quantemplate","quantemplate.com","UK","EMEA","insurtech","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice automation","Data integration platform for insurance with potential voice automation use cases."
"boost.ai","boost.ai","Norway","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for automating customer interactions."
"Aveni.ai","aveni.ai","UK","EMEA","fintech","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","speech analytics","AI platform for financial services to extract insights from documents and calls."
"OneReach.ai","onereach.com","","EMEA","","ai-agent","customer","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Low-code platform for building and deploying conversational AI solutions."
"DeepZen","deepzen.io","UK","EMEA","any","voice-api","unverified","tier2","70","AI agent / voice agent builders","ai_agent_builders","speech technology","AI voice actor platform."
"Kea.ai","kea.ai","France","EMEA","conversational ai","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for contact centers."
"Inbenta","inbenta.com","Spain","EMEA","general","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform using semantic search and NLP for customer service."
"Akur8","akur8.com","France","EMEA","insurtech","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","call analytics","AI powered call analytics solutions for insurance businesses."
"Sabio","sabiogroup.com","GB","EMEA","any","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Provides CX solutions including conversational AI and automation for contact centers."
"Aimesoft","aimesoft.com","Czechia","EMEA","general","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Develops and integrates conversational AI solutions."
"Rasa","rasa.com","Germany","EMEA","any","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Open-source conversational AI framework."
"NLX","nlx.ai","UK","EMEA","general","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","NLX is a conversational AI platform used to automate customer interactions via voice and chat."
"Talkpush","talkpush.com","","EMEA","","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Recruitment automation platform using conversational AI for candidate screening and engagement."
"MindTitan","mindtitan.com","Estonia","EMEA","contact-center","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai agent","Builds custom AI solutions for various industries. Often builds conversational AI agents for customer service."
"Articulate","articulate.com","UK","EMEA","contact center","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Customer engagement platform that includes conversational AI and chatbot capabilities."
"Vocala","vocala.co","France","EMEA","healthcare","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice-based ai","Focuses on voice-based AI solutions for the healthcare industry."
"Acapela Group","acapela-group.com","Belgium","EMEA","AI-voice","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","speech synthesis","Develops voice solutions and speech synthesis technologies, with applications in various industries."
"SESTEK","sestek.com","TR","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","speech recognition","Provides speech technologies and conversational AI solutions for customer service."
"P speak","pspeak.com","UK","EMEA","customer service","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","AI-driven voice agents for customer interactions."
"Aflorithmic","aflorithmic.ai","UK","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice synthesis","AI audio production and voice synthesis for marketing and advertising."
"LivePerson","liveperson.com","US","AMER","contact-center","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","AI-powered conversational platform with contact center automation capabilities."
"Vokode","vokode.com","GB","EMEA","ai","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","speech ai","Speech AI platform."
"Vocads","vocads.com","Denmark","EMEA","Any","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational voice ai","Platform for creating and managing voice-based advertising campaigns."
"Calldesk","calldesk.ai","France","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","AI-powered voice agents for customer service."
"LeadBoxer","leadboxer.com","NL","EMEA","sales","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","lead generation","Lead tracking and intelligence platform that can integrate with voice communication systems."
"Y Meadows","ymeadows.com","CH","EMEA","contact-center","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","call center operations","AI-powered customer service platform. Helps automate support ticket analysis and response, improving call center operations."
"Polymerize","polymerize.io","Germany","EMEA","scientific research","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice interface","AI tools for scientific research, potentially using voice interfaces for data input/analysis."
