company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Pando","pando.ai","UK","EMEA","healthcare","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai agent","Secure messaging and collaboration platform for healthcare professionals, including voice note functionality."
"Involve AI","involve.ai","UK","EMEA","fintech","ai-agent","unverified","tier3","30","","","","Uses AI to automate customer onboarding and relationship management for financial institutions."
"Auris AI","auris.ai","UK","EMEA","customer service","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","speech analytics","Provides AI-powered speech analytics and automation for contact centers."
"Sidetrade","sidetrade.com","FR","EMEA","finance","voice-api","validated","tier1","90","Platform builders embedding telephony / voice automation","embedded_voice_platforms","predictive dialer","AI-powered platform for sales performance and automation, including predictive dialer and voice analysis features."
"EBO.ai","ebo.ai","UK","EMEA","Healthcare","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai","AI-powered virtual assistants for financial institutions, automating customer service and support via voice."
"DigitalGenius","digitalgenius.com","GB","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai agent","AI-powered customer service automation platform using NLP to understand and respond to customer inquiries via voice."
"Spitch","spitch.com","Switzerland","EMEA","ai-voice","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides conversational AI solutions for automating customer service interactions across voice channels."
"Ipsoft Amelia","ipsoft.com","UK","EMEA","contact-center","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","AI-powered virtual assistant for enterprise automation. The Amelia platform provides natural language understanding, conversational AI, and intelligent automation capabilities for automating customer service and support interactions across voice channels."
"Corti","corti.ai","Denmark","EMEA","hr-tech","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voice-based ai","AI-powered clinical decision support system that assists healthcare professionals in emergency situations."
"Wluper","wluper.com","UK","EMEA","any","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice technology","AI-powered conversational platform for building voice assistants and chatbots."
"Creative Virtual","creativevirtual.com","UK","EMEA","any","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides virtual assistant solutions for healthcare and customer service."
"Smartly.ai","smartly.ai","SG","APAC","technology","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai agent","AI-powered platform for building and managing customer service chatbots, including voice-enabled assistants."
