company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"CloudCall","cloudcall.com","UK","EMEA","sales","voice-api","validated","tier2","70","Platform builders embedding telephony / voice automation","embedded_voice_platforms","phone system","Integrated communications for CRM, bringing voice, video and messaging to the cloud."
"Cleverly.ai","cleverly.ai","Germany","EMEA","hr-tech","voice-ai","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","call center","AI-powered call center automation."
"EBO.ai","ebo.ai","UK","EMEA","Healthcare","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","patient communication","Provides AI-powered virtual assistants for healthcare providers, including automated patient communication and support."
"Creative Virtual","creativevirtual.com","UK","EMEA","any","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides virtual assistant and chatbot solutions for customer engagement."
"CallPage","callpage.io","Poland","EMEA","Any","voice-api","validated","tier3","70","Contact-center / BPO / CX operators","","","Web-based callback automation tool."
"Vocapia Research","vocapia.com","FR","EMEA","any","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","speech analytics","Speech analytics and transcription services"
"Omilia","omilia.com","Greece","EMEA","any","voice-ai","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for automating customer service interactions."
"Sabio Group","sabiogroup.com","UK","EMEA","any","voice-ai","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","Offers contact center solutions and services."
"Transcom","transcom.com","Sweden","EMEA","any","voice-ai","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","call center operations","Customer experience specialist providing contact center solutions including voice."
"Puzzel","puzzel.com","Norway","EMEA","any","voice-ai","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","workforce management","Cloud Contact Center solution with voice at its core."
"Ascensos","ascensos.com","UK","EMEA","Any","voice-api","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","contact center services","Outsourced contact center services."
"Sigma Connected","sigmaconnected.com","UK","EMEA","Any","voice-api","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","bpo","Sigma Connected is a BPO provider specializing in customer contact solutions."
"Desana","desana.io","UK","EMEA","any","ai-agent","validated","tier2","70","Platform builders embedding telephony / voice automation","embedded_voice_platforms","phone system","Desana offers an AI-powered phone system for managing calls and voice interactions within flexible workspaces."
"DeepZen","deepzen.io","UK","EMEA","any","voice-api","unverified","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice cloning","AI voice cloning technology for creating realistic voiceovers and virtual characters."
"Rasa","rasa.com","Germany","EMEA","any","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","An open-source conversational AI framework for building text- and voice-based assistants."
"boost.ai","boost.ai","Norway","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","No-code conversational AI platform for customer service automation."
"Spitch","spitch.com","Switzerland","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voicebot","Develops conversational AI solutions for enterprises, including voicebots and chatbots for customer service."
"Webio","webio.com","IE","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI for credit, collections and customer engagement"
"Spoke.ai","spoke.ai","UK","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai call center","AI-powered call center solutions for personalized customer interactions."
"paua.co","paua.co","Germany","EMEA","ai-voice","ai-agent","validated","tier3","70","Contact-center / BPO / CX operators","","","EV charge card using phone calls to confirm driver and location data to the charge point operator"
"Dixa","dixa.com","Denmark","EMEA","customer support","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","phone support","Customer service platform that unifies phone, email, chat, and social media channels."
"CPM International","cpm-int.com","UK","EMEA","BPO","voice-ai","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","Outsourced sales teams."
"Symbl.ai","symbl.ai","GB","EMEA","ai","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai conversation","Conversation intelligence platform for real-time insights from voice and text."
"Luware","luware.com","CH","EMEA","finance","ai-agent","validated","tier1","100","Vertical software with phone-native workflows","vertical_phone_workflows","call recording","Provides contact center solutions integrated with Microsoft Teams."
