company,domain,country,vertical,useCase,whyFit,clearbit_industry,clearbit_sector,employees
"Halodoc","halodoc.com","ID","Healthcare Tech","Voice-based appointment booking, remote consultations, prescription refills via voice.","Leading telehealth platform, heavily reliant on voice communication for patient interaction and service delivery.","Health Care Providers & Services","Health Care","1500"
"Razorpay","razorpay.com","IN","Fintech","Voice-based payment reminders, fraud detection using voice biometrics, customer support automation.","Payment gateway provider, can leverage voice for enhanced security and improved customer experience.","Diversified Financial Services","Financials","2528"
"Klook","klook.com","HK","Travel Tech","Voice-activated booking of travel experiences, real-time travel updates via voice, multilingual customer support.","Travel booking platform, can benefit from voice for seamless booking and personalized travel assistance.","Consumer Services","Consumer Discretionary","1750"
"Ninja Van","ninjavan.co","SG","Logistics","Voice-automated delivery scheduling, driver communication, and customer service inquiries.","Logistics company that can use voice to improve efficiency and customer satisfaction.","Air Freight & Logistics","Industrials","4294"
"Carsome","carsome.my","MY","Automotive","Voice-based car valuation, appointment scheduling, and customer support for car buying/selling.","Online car marketplace that can use voice to streamline the buying and selling process.","Automotive","Consumer Discretionary","2000"
"Airwallex","airwallex.com","HK","Fintech","Voice-activated international money transfers, fraud detection using voice analysis, and customer support.","Fintech company specializing in global payments, can use voice to enhance security and user experience.","Capital Markets","Financials","1400"
"Practo","practo.com","IN","Healthcare Tech","Voice-based appointment scheduling, medication reminders, and doctor consultations.","Healthcare platform that can use voice to improve patient access and engagement.","Health Care Providers & Services","Health Care","1644"
"Lazada","lazada.com","SG","E-commerce","Voice-based product search, order tracking, and customer support.","Major e-commerce platform; voice can enhance the shopping experience.","Air Freight & Logistics","Industrials","19034"
"Tokopedia","tokopedia.com","ID","E-commerce","Voice-activated shopping, order management, and customer service inquiries.","Leading Indonesian e-commerce platform; voice can improve user engagement and accessibility.","Internet Software & Services","Information Technology","4700"
"Zenyum","zenyum.com","SG","Healthcare Tech","Voice-guided dental assessments, appointment scheduling, and customer support.","Teledentistry platform; voice can improve patient communication and treatment adherence.","Personal Products","Consumer Staples","None"
"Policybazaar","policybazaar.com","IN","Fintech","Voice-based insurance quotes, policy comparisons, and customer support.","Insurance aggregator; voice can streamline the insurance buying process.","Insurance","Financials","7250"
"Carro","carro.sg","SG","Automotive","Voice-activated car search, virtual car tours, and customer support.","Online car marketplace; voice can enhance the car buying experience.","Automotive","Consumer Discretionary","1000"
"Bukalapak","bukalapak.com","ID","E-commerce","Voice-based product search, order tracking, and customer support.","E-commerce platform; voice can improve user engagement and accessibility.","Internet Software & Services","Information Technology","2236"
"HappyFresh","happyfresh.com","MY","E-commerce","Online grocery delivery; voice can be used for ordering groceries and tracking deliveries.","Online grocery delivery, could use voice for convenient ordering.","Specialty Retail","Consumer Discretionary","180"
"Omise","omise.co","TH","Fintech","Payment gateway; voice can be used for secure authentication and payment processing.","Payment gateway, could use voice for enhanced security and user experience.","Diversified Financial Services","Financials","240"
"ShopBack","shopback.com","SG","E-commerce","Cashback platform; voice can be used for searching for deals and tracking cashback.","Cashback platform, could use voice for convenient deal searching.","IT Services","Information Technology","1250"
"PayMaya","paymaya.com","PH","Fintech","Digital wallet; voice can be used for secure authentication and payment processing.","Digital wallet, could use voice for enhanced security and user experience.","Banks","Financials","960"
"Atome","atome.sg","SG","Fintech","Buy now, pay later platform; voice can be used for account management and payment reminders.","Buy now, pay later platform, could use voice for convenient account management.","Diversified Financial Services","Financials","780"
"AwanTunai","awantunai.com","ID","Fintech","Supply chain financing platform; voice can be used for transaction verification and customer support.","Supply chain financing platform, could use voice for secure transactions and customer service.","Banks","Financials","270"
"Gnowbe","gnowbe.com","SG","SaaS","Mobile learning platform; voice can be used for interactive learning experiences and feedback.","Mobile learning platform, could use voice for engaging learning experiences.","Diversified Consumer Services","Consumer Discretionary","45"
"AnyMind Group","anymindgroup.com","JP","Marketing Tech","Marketing platform; voice can be used for creating and managing voice-based advertising campaigns.","Marketing platform, could use voice for innovative advertising solutions.","Media","Consumer Discretionary","1941"
"Quantifeed","quantifeed.com","HK","Fintech","Wealth management platform that could integrate voice-based portfolio updates and trading.","Building voice-enabled features into their platform requires reliable voice infrastructure.","Capital Markets","Financials","90"
"CX Central","cxcentral.com.au","AU","BPO/Contact Center","Outsourcing contact center that needs to provide voice services to its clients.","Requires a reliable and scalable voice infrastructure to support its contact center operations.","Professional Services","Industrials","5"
"GCash","gcash.com","PH","Fintech","Mobile wallet and payment platform that can use voice for customer support and fraud detection.","Large transaction volume and customer base necessitate robust voice infrastructure for support and security.","Capital Markets","Financials","45"
"MyDoc","mydoc.asia","SG","Healthcare Tech","Telemedicine platform offering remote consultations and diagnosis via voice and video.","Relies on high-quality voice communication for remote patient care.","Health Care Providers & Services","Health Care","10"
"MIMS","mims.com","SG","Healthcare Tech","Provides medical information and drug databases, potentially integrating voice search for healthcare professionals.","Could use voice AI to improve access to medical information for healthcare professionals.","Diversified Consumer Services","Consumer Discretionary","990"
"SenseTime","sensetime.com","HK","AI-native startup","AI company specializing in facial recognition and computer vision, potentially expanding into voice recognition.","Leading AI company with potential applications for voice AI in various industries.","Internet Software & Services","Information Technology","5943"
"iPrice Group","ipricegroup.com","MY","E-commerce","Meta-search website that aggregates products from various e-commerce platforms, potentially integrating voice search.","Could use voice AI to improve product discovery and search experience for users.","Internet Software & Services","Information Technology","270"
"Zoho","zoho.com","IN","SaaS","Cloud-based business software suite that could integrate voice commands and virtual assistants.","Building voice-enabled features into their platform requires reliable voice infrastructure.","Internet Software & Services","Information Technology","16451"
"Traveloka","traveloka.com","ID","Travel Tech","Online travel agency using voice-based search and booking functionalities within their app.","Expanding voice-based features requires scalable and reliable voice infrastructure.","Consumer Services","Consumer Discretionary","2200"
"RedDoorz","reddoorz.com","SG","Travel Tech","Budget hotel chain using voice for customer service and booking confirmations.","Uses voice for customer interaction and operational workflows.","Hotels, Restaurants & Leisure","Consumer Discretionary","1400"
"GoTo Group","gotocompany.com","ID","E-commerce","Holding company for Gojek and Tokopedia. Gojek uses voice for driver communication. Tokopedia uses voice for customer support.","Large customer base and transaction volume necessitate robust voice infrastructure for support.","IT Services","Information Technology","720"
"Avaana Capital","avaanacapital.com","IN","Venture Capital (Investing in AI/SaaS)","Portfolio companies building voice-enabled applications.","VC firm investing in early-stage companies that could leverage Telnyx Voice AI. Indirect but valuable lead source.","Capital Markets","Financials","15"
