company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Cleverly","cleverly.ai","Netherlands","EMEA","hr-tech","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","Automated customer support service with AI chatbots and voice agents."
"Spixii","spixii.com","UK","EMEA","insurtech","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","AI-powered chatbot and voice assistant for customer service."
"EBO.ai","ebo.ai","UK","EMEA","Healthcare","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai","Virtual agent for healthcare"
"Aveni.ai","aveni.ai","UK","EMEA","fintech","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","speech analytics","AI platform for financial services that helps automate compliance and customer interactions, including voice."
"Creative Virtual","creativevirtual.com","UK","EMEA","any","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Virtual assistant and chatbot solutions for customer service."
"CallPage","callpage.io","Poland","EMEA","Any","voice-api","validated","tier3","70","","","","CallPage is a web call-back automation tool. It connects potential customers with sales representatives in 28 seconds."
"Vocapia Research","vocapia.com","FR","EMEA","any","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","speech analytics","Speech analytics and voice search technology."
"Omilia","omilia.com","Greece","EMEA","any","voice-ai","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for customer service."
"Sabio Group","sabiogroup.com","UK","EMEA","any","voice-ai","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","A contact center solutions and services provider focusing on optimizing customer experiences."
"Transcom","transcom.com","Sweden","EMEA","any","voice-ai","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center","Global customer experience specialist, providing contact center and customer care services."
"Puzzel","puzzel.com","Norway","EMEA","any","voice-ai","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","Cloud-based contact center solution with AI and automation features."
"Ascensos","ascensos.com","UK","EMEA","Any","voice-api","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center","Customer management services including contact center operations."
"Sigma Connected","sigmaconnected.com","UK","EMEA","Any","voice-api","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","business process outsourcing","Provides outsourced contact center services, emphasizing phone-based interactions."
"DeepZen","deepzen.io","UK","EMEA","any","voice-api","unverified","tier1","90","AI agent / voice agent builders","ai_agent_builders","ai-powered voice","AI voice platform creating natural-sounding AI voices for conversational AI, chatbots, and IVR."
"Rasa","rasa.com","Germany","EMEA","any","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Open-source conversational AI framework, used to build voice assistants and chatbots."
"boost.ai","boost.ai","Norway","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides a conversational AI platform for automating customer service interactions."
"Spitch","spitch.com","Switzerland","EMEA","ai-voice","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Spitch provides enterprise and government clients with omnichannel conversational AI solutions."
"Webio","webio.com","IE","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Offers a conversational AI platform focused on collections and customer engagement."
"Symbl.ai","symbl.ai","GB","EMEA","ai","voice-api","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai agent","Conversation intelligence platform with speech-to-text."
"Toolsonair","toolsonair.com","ES","EMEA","marketing","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","call automation","Software solutions for television broadcasting with call automation."
"Sidetrade","sidetrade.com","FR","EMEA","finance","voice-api","validated","tier3","70","","","","AI-powered platform for automating customer financial interactions, including phone calls."
