company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Glean AI","glean.ai","India","APAC","technology","ai-agent","validated","tier3","70","","","","Automated invoice processing using AI."
"Sensei","sensei.tech","India","APAC","technology","ai-agent","validated","tier3","70","","","","Conversational AI platform for customer service automation."
"Aider","aider.ai","New Zealand","APAC","fintech","voice-ai","validated","tier3","70","","","","AI-powered virtual assistant for small businesses."
"Paper.id","paper.id","Indonesia","APAC","fintech","ai-agent","validated","tier3","70","","","","B2B invoicing and payment platform."
"Docquity","docquity.com","Singapore","APAC","healthtech","voice-api","validated","tier3","70","","","","Professional network for doctors in Southeast Asia."
"MoEngage","moengage.com","India","APAC","technology","ai-agent","validated","tier3","70","","","","Customer engagement platform with AI-powered personalization."
"Darwinbox","darwinbox.com","India","APAC","technology","ai-agent","validated","tier3","70","","","","Human resources management system with conversational AI chatbot."
"Gupshup","gupshup.io","India","APAC","technology","ai-agent","validated","tier3","70","","","","Conversational messaging platform."
"Medipass Solutions","medipass.com.au","Australia","APAC","healthtech","voice-api","validated","tier3","30","","","","Digital payment platform for healthcare, streamlining payments with AI automation."
"MyDoc","mydoc.asia","Singapore","APAC","healthtech","voice-api","validated","tier3","30","","phone_workflow","MyDoc facilitates virtual consultations, including phone-based appointments, for remote healthcare access.","Telehealth platform offering remote consultations and healthcare services."
"CogniAssist","cogniassist.com","AU","APAC","healthcare","ai-agent","unverified","tier3","30","","phone_workflow","NDIS Provider","Cognitive assessment and support platform, potentially using voice for interaction."
"ActivePipe","activepipe.com","AU","APAC","technology","voice-api","validated","tier3","70","","","","CRM for real estate agents offering SMS marketing capabilities and phone integrations."
"ProximaX","proximax.io","SG","APAC","technology","voice-api","validated","tier3","70","","","","Blockchain platform with media streaming APIs, enabling real-time communication."
"Ocular.ai","ocular.ai","IN","APAC","technology","ai-agent","validated","tier3","30","","voice_agent","AI Powered Voice Automation for Call Centers","AI-powered call center solution for sales and support."
"Tech Mahindra Business Process Services","techmahindra.com","IN","APAC","technology","ai-agent","validated","tier3","30","","voice_agent","AI-driven contact center solutions","Provides BPO and customer experience services, including AI-driven contact center solutions and automation."
"Teleperformance Philippines","teleperformance.com","Philippines","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","AI-powered contact center operations","Offers outsourced omnichannel customer experience solutions, including AI-powered contact center operations."
"Teleperformance India","teleperformance.com","IN","APAC","technology","ai-agent","validated","tier3","30","","phone_workflow","we have established ourselves as the preferred provider of omnichannel customer experience.","Global BPO with a large presence in India offering omnichannel customer experience."
"Intelenet Global Services","intelenetglobal.com","IN","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","AI and automation","Provides BPO services, including customer service and contact center solutions enhanced with AI and automation."
"Teleperformance","teleperformance.com","India","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","Investing in AI and automation to enhance customer interactions","Global CX provider with AI-powered automation and analytics"
"Q-bital Healthcare Solutions","q-bital.com","AU","APAC","healthcare","ai-agent","unverified","tier3","30","","phone_workflow","Coordination of mobile healthcare facilities and staff","Healthcare infrastructure provider offering modular healthcare facilities and services, needing communication and coordination."
"MedPay","medpay.com.au","AU","APAC","fintech","ai-agent","unverified","tier3","30","","phone_workflow","Payment plans for medical expenses; reminder service","Healthcare payment and financing solutions, suggesting payment reminders and collections."
"Fullife Healthcare","fullife.com","IN","APAC","healthcare","ai-agent","unverified","tier3","30","","phone_workflow","healthcare wellness solutions","Healthcare and wellness products company, could use for patient adherence programs."
"WATI","wati.io","HK","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","Integrate voice bots to handle customer inquiries on WhatsApp.","WhatsApp Business API platform for customer support and sales automation, allows integrating voice bots to handle customer inquiries."
"ServiceUp","serviceup.co","AU","APAC","technology","ai-agent","unverified","tier3","30","","phone_workflow","Streamline communication and dispatch your staff","Field service management software for scheduling, dispatching, and communication."
"Zendesk","zendesk.com.au","AU","APAC","technology","ai-agent","unverified","tier3","30","","phone_workflow","Customer service software and support ticketing system.","Customer service software and support ticketing system."
"Ocular","tryocular.com","SG","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","AI-powered platform that automates customer support interactions","AI-powered platform that automates customer support interactions using conversational AI."
"Koala AI","koala.sh","AU","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","AI Sales Assistant with human-like Voice & Chat that automates repetitive tasks.","AI sales assistant that uses voice to automate lead qualification and outreach."
"Airmeet","airmeet.com","IN","APAC","technology","voice-api","validated","tier3","70","","","","Platform for hosting virtual events and conferences, incorporating real-time audio and video conferencing features."
"Lokalise","lokalise.com","LV","APAC","technology","voice-api","validated","tier3","70","","","","Localization platform includes voice translation and voice-over features"
"Callbox","callbox.com.ph","PH","APAC","technology","ai-agent","unverified","tier3","30","","phone_workflow","Multi-channel marketing campaigns integrating voice","B2B outsourced lead generation. Telephony is a significant part of their product."
"Alora AI","aloraai.com","IN","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","AI Voice Agents","Provides AI-powered voice agents for customer service and sales."
"Transcosmos Asia Philippines, Inc.","trans-cosmos.com.ph","PH","APAC","technology","ai-agent","unverified","tier3","30","","voice_agent","AI and automation, chatbots and voicebots","Offers contact center services enhanced by AI and automation, including chatbots and voicebots."
"Providence Care","providencecare.com.au","AU","APAC","healthcare","voice-api","unverified","tier3","30","","phone_workflow","Aged care services needing coordination and patient support calls","Aged care services with a focus on care coordination, likely heavy phone use."
"UpGuard","upguard.com","Australia","APAC","fintech","voice-api","validated","tier3","70","","","","Third-party risk and attack surface management."
"SimPRO","simpro.com","AU","APAC","technology","voice-api","validated","tier3","70","","","","Field service management software utilizing calls for support and assistance."
"Procore Technologies","procore.com","AU","APAC","technology","voice-api","validated","tier3","70","","","","Construction management software using phone communication and field assistance."
