company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"CallPage","callpage.io","Poland","EMEA","Any","voice-api","validated","tier3","70","Contact-center / BPO / CX operators","","","Web-based callback automation tool."
"paua.co","paua.co","Germany","EMEA","ai-voice","ai-agent","validated","tier3","70","Contact-center / BPO / CX operators","","","EV charge card using phone calls to confirm driver and location data to the charge point operator"
"ZAUBER AI","zauber.ai","Germany","EMEA","ai-voice","ai-agent","unverified","tier3","40","","voice_agent","AI-powered voice assistants that answer calls and provide customer service.","AI-powered voice assistants for customer service."
"Oura AI","oura.ai","UK","EMEA","ai-voice","ai-agent","unverified","tier3","30","","call_automation","Generate more leads, book more meetings, and close more deals with Oura's AI-powered call automation.","AI-powered call automation for sales teams."
"Eurocall","eurocall.co.uk","UK","EMEA","BPO","contact-center","unverified","tier3","50","","phone_workflow","Contact center services","Contact center and customer support."
"Sitel Portugal","sitel.pt","PT","EMEA","BPO","contact-center","unverified","tier3","30","","phone_workflow","Multichannel Customer Service","Provides outsourced contact center solutions and customer service support."
"Yapay AI","yapay.ai","UK","EMEA","finance","ai-agent","unverified","tier3","50","","ai-agent","AI-powered collections & recovery platform","AI solution to automate collections, including through conversational AI."
"Teleperformance Portugal","teleperformance.com","PT","EMEA","BPO","contact-center","unverified","tier3","50","","phone_workflow","Customer care, technical support, customer acquisition, consulting & analytics.","Teleperformance Portugal provides outsourced customer experience management services."
"Intelenet Global Services UK","intelenetglobal.com","GB","EMEA","BPO","contact-center","unverified","tier3","30","","phone_workflow","Customer experience and contact center outsourcing.","Intelenet Global Services provides BPO and customer experience management services."
"Answer4u","answer4u.com","UK","EMEA","BPO","contact-center","unverified","tier3","50","","phone_workflow","Telephone Answering","Telephone answering and virtual receptionist services."
