company,domain,country,icpBucket,voiceSignal,whyFit,clearbit_industry,clearbit_sector,employees
Coviu,coviu.com,AU,Vertical software companies with a phone-native workflow,"Coviu provides telehealth solutions. Telehealth inherently involves voice communication, making them a strong candidate for Telnyx's voice AI infrastructure.",Telehealth platform with phone-heavy workflows for consultations and patient communication.,Health Care Providers & Services,Health Care,75
MedAdvisor,medadvisor.com.au,AU,Vertical software companies with a phone-native workflow,"MedAdvisor is a medication management platform. They likely use phone calls for patient reminders, consultations, and support.",Medication management platform with phone-based patient communication workflows.,Health Care Providers & Services,Health Care,150
Assembly Payments,assemblypayments.com,AU,Vertical software companies with a phone-native workflow,"Payment platform that likely uses voice for verification, fraud prevention, and customer support.",Payment platform with phone-based verification and customer support workflows.,Diversified Financial Services,Financials,240
CX Central,cxcentral.com.au,AU,AI agent / voice agent builders,"CX Central is a contact center resource and consultancy. They are likely involved in implementing and recommending contact center technologies, including AI-powered solutions.","Consultancy focused on contact center technologies, including AI and automation.",Professional Services,Industrials,5
Prospa,prospa.com,AU,Vertical software companies with a phone-native workflow,Prospa provides small business loans. Loan applications and servicing often involve phone communication for verification and support.,Fintech company providing small business loans with phone-based application and servicing workflows.,Banks,Financials,420
Employment Hero,employmenthero.com,AU,Vertical software companies with a phone-native workflow,"HR platform that likely uses voice for employee onboarding, support, and internal communication.",HR platform with phone-based employee onboarding and support workflows.,Professional Services,Industrials,110
Deputy,deputy.com,AU,Vertical software companies with a phone-native workflow,"Deputy is a workforce management platform. They likely use phone calls for scheduling, shift reminders, and employee communication.",Workforce management platform with phone-based scheduling and communication workflows.,Professional Services,Industrials,450
Rezdy,rezdy.com,AU,Vertical software companies with a phone-native workflow,"Rezdy provides booking software for tours and activities. They likely use phone calls for booking confirmations, customer support, and managing reservations.",Booking software for tours and activities with phone-based booking and customer support workflows.,Consumer Services,Consumer Discretionary,150
Clinic to Cloud,clinictocloud.com,AU,Vertical software companies with a phone-native workflow,"Clinic to Cloud is a cloud-based practice management system. Practice management systems often involve phone calls for appointment scheduling, patient communication, and billing.",Practice management system with phone-based appointment scheduling and patient communication workflows.,Professional Services,Industrials,60
Openpay,openpay.com.au,AU,Vertical software companies with a phone-native workflow,"Buy now, pay later service that likely uses voice for verification, customer support, and collections.","Buy now, pay later service with phone-based verification, customer support, and collections workflows.",Diversified Financial Services,Financials,45
SimPRO,simprogroup.com,AU,Vertical software companies with a phone-native workflow,"SimPRO provides job management software for trade services. Trade services often rely on phone calls for scheduling, dispatch, and communication with customers.","Job management software for trade services with phone-based scheduling, dispatch, and customer communication workflows.",Internet Software & Services,Information Technology,450
SiteMinder,siteminder.com,AU,Vertical software companies with a phone-native workflow,"SiteMinder provides hotel commerce platform. Hotels rely heavily on phone calls for reservations, customer service, and managing guest requests.",Hotel commerce platform with phone-based reservation and customer service workflows.,"Hotels, Restaurants & Leisure",Consumer Discretionary,510
