company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"boost.ai","boost.ai","Norway","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for automating customer interactions."
"OneReach.ai","onereach.com","","EMEA","","ai-agent","customer","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai agent","Builds intelligent automation solutions for customer experience."
"Webio","webio.com","IE","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI for contact centers"
"Creative Virtual","creativevirtual.com","UK","EMEA","any","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides virtual assistant and chatbot solutions for customer service."
"OpenCall","opencall.ai","FR","EMEA","sales","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai call center","AI powered sales call recording and analytics platform for improving sales conversations."
"SentiSum","sentisum.com","UK","EMEA","any","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","ai agent","AI-powered customer service analytics and automation platform."
"CPM International","cpm-int.com","UK","EMEA","BPO","voice-ai","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center services","Outsourced sales and customer contact center services provider."
"IPsoft","ipsoft.com","UK","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provider of Amelia, a conversational AI platform for enterprise automation."
" babelforce GmbH","babelforce.com","DE","EMEA","contact-center","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voicebot","Offers a no-code automation platform for contact centers including voice integrations."
"Sabio Group","sabiogroup.com","UK","EMEA","any","voice-ai","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","contact center","A contact center solutions provider that leverages AI for automation and improved customer experiences."
"Talkpush","talkpush.com","","EMEA","","voice-api","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai","Recruitment automation platform using conversational AI for candidate screening."
"Alcméon","alcmeon.com","FR","EMEA","contact-center","ai-agent","validated","tier1","100","Vertical software with phone-native workflows","vertical_phone_workflows","messaging platform","CRM software with call center functionalities."
"Clarity AI","clarity.ai","Spain","EMEA","hr-tech","voice-ai","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","customer service","Sustainability data and insights platform, potentially used in fintech with voice workflows for customer support or sales."
"Aivo","aivo.co","ES","EMEA","Customer Service","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides a conversational AI platform for customer interaction."
"Agnitio","agnitio.com","DK","EMEA","pharmaceutical","voice-api","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","digital engagement","Multichannel communication platform for pharma sales."
"Skintelligent","skintelligent.ai","DE","EMEA","Customer Service","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","voice agent","AI-powered voice agents for customer support."
"Veridas","veridas.com","ES","EMEA","Security","ai-agent","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","verification platform","Voice biometrics for authentication and fraud prevention."
"LeadBoxer","leadboxer.com","NL","EMEA","sales","ai-agent","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","lead generation","B2B lead generation software."
"Calldesk","calldesk.ai","France","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","voice agent","Calldesk provides AI-powered virtual agents for customer service and sales, automating phone conversations and improving customer experience."
"konversionsKraft","konversionskraft.de","Germany","EMEA","CX","ai-agent","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","customer experience","Consultancy optimizing customer experience using data analysis and AI."
"Puzzel","puzzel.com","Norway","EMEA","any","voice-ai","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","workforce management","Provider of cloud-based contact center solutions."
