company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"EBO.ai","ebo.ai","UK","EMEA","Healthcare","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides a conversational AI platform that automates customer interactions across different channels including voice."
"Babelforce","babelforce.com","Germany","EMEA","any","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center services","No-code contact center automation platform."
"Omilia","omilia.com","Greece","EMEA","any","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for automating customer interactions in contact centers."
"Sabio Group","sabiogroup.com","UK","EMEA","any","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai-powered voice","Provides contact center solutions including AI-powered voice assistants."
"boost.ai","boost.ai","Norway","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform"
"Spitch","spitch.com","Switzerland","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voicebot","Develops conversational AI solutions for enterprises, including voicebots and speech analytics for improving customer engagement and operational efficiency."
"Slang.ai","slang.ai","ES","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai solution","Develops voice AI solutions for contact centers, including virtual assistants and call routing automation."
"Symbl.ai","symbl.ai","GB","EMEA","ai","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Offers a conversational AI platform that helps developers build intelligent voice and text-based applications."
"Luware","luware.com","CH","EMEA","finance","ai-agent","validated","tier2","70","Platform builders embedding telephony / voice automation","embedded_voice_platforms","call routing","Provides customer service solutions with focus on call routing and voice applications."
"Auris AI","auris.ai","UK","EMEA","customer service","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai-powered voice","Provides AI-powered voice analytics for improving customer experience and compliance."
"Konverso","konverso.ai","France","EMEA","IT Service Desk","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Offers an AI-powered chatbot platform with voice capabilities, enabling businesses to automate customer support and internal communications."
"Cognitive Voice","cognitivevoice.io","Germany","EMEA","ai-voice","ai-agent","unverified","tier3","30","","voice_agent","AI-powered voice assistants for automating customer service","Develops AI-powered voice assistants for automating customer service interactions."
"Yann AI","yann.ai","France","EMEA","ai-voice","ai-agent","unverified","tier3","30","","voice_agent","Phone voice agent","Voice agent to answer the phone for the company."
"Calldesk","calldesk.ai","France","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","Platform for automating customer service calls with AI."
"OneUp Sales","oneupsales.com","Spain","EMEA","ai-voice","ai-agent","unverified","tier3","30","","phone_workflow","Call center software","Call center software."
"Vocale.ai","vocale.ai","UK","EMEA","ai-voice","ai-agent","unverified","tier3","30","","voice_agent","Build conversational AI agents that can understand, engage and resolve customer issues.","Provides a platform for building conversational AI agents for customer service."
"Dialog Insight","dialoginsight.com","France","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Offers omnichannel conversational AI solutions"
"AIGIS","aigis.io","France","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Offers a conversational AI platform to automate interactions with customers."
"Sharpen","sharpencx.com","UK","EMEA","contact-center","contact-center","validated","tier3","70","","","","Contact center platform for cloud communications"
"PromptFlow","promptflow.co","UK","EMEA","ai-voice","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Provides AI-driven development tools."
"LeadRocks","leadrocks.io","Estonia","EMEA","ai-voice","voice-api","validated","tier2","70","Platform builders embedding telephony / voice automation","embedded_voice_platforms","predictive dialer","Cloud based predictive dialer and call center software with automation features."
