company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Aveni.ai","aveni.ai","UK","EMEA","fintech","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","speech analytics","Provides AI-powered solutions for financial services, including call monitoring and compliance."
"Babelforce","babelforce.com","Germany","EMEA","any","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voicebot","No-code automation platform for contact centers."
"Creative Virtual","creativevirtual.com","UK","EMEA","any","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Virtual agent solutions for customer self-service."
"Omilia","omilia.com","Greece","EMEA","any","voice-ai","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for customer service automation."
"Puzzel","puzzel.com","Norway","EMEA","any","voice-ai","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","workforce management","Cloud-based contact center solution with AI-powered automation."
"Webio","webio.com","IE","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for credit, collections and customer engagement, specializing in automated agent interactions."
"paua.co","paua.co","Germany","EMEA","ai-voice","ai-agent","validated","tier1","90","Contact-center / BPO / CX operators","cx_operators","customer service","EV charging payment solution with phone based support and account management."
"Symbl.ai","symbl.ai","GB","EMEA","ai","voice-api","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai agent","Builds voice & text AI for real-time and post-call conversation intelligence"
"Luware","luware.com","CH","EMEA","finance","ai-agent","validated","tier1","100","Vertical software with phone-native workflows","vertical_phone_workflows","call recording","Customer service solutions with focus on Microsoft Teams integration and voice."
"Sidetrade","sidetrade.com","FR","EMEA","finance","voice-api","validated","tier1","100","Vertical software with phone-native workflows","vertical_phone_workflows","accounts receivable","Uses AI to automate and optimize the order-to-cash process, including collections calls."
"Auris AI","auris.ai","UK","EMEA","customer service","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","voice ai platform","AI-powered customer service platform focusing on voice and chat automation."
"Agnitio","agnitio.com","DK","EMEA","pharmaceutical","voice-api","validated","tier1","90","Vertical software with phone-native workflows","vertical_phone_workflows","digital engagement","Provides AI-powered solutions for medical and pharmaceutical sales reps"
"Content Guru","contentguru.com","UK","EMEA","any","voice-api","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center","Cloud Contact Center provider with significant call handling features."
"HumanFirst","humanfirst.ai","UK","EMEA","cross-vertical","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai","HumanFirst helps analyze conversation data."
"Rulai","rul.ai","UK","EMEA","customer service","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","AI-powered customer service automation."
"Connectel","connectel.net","NO","EMEA","contact-center","contact-center","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center","Cloud contact center solutions with voice focus."
"Talkwalker","talkwalker.com","LU","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","speech analytics","Consumer intelligence and analytics, with some speech analytics functionality."
"Phonal AI","phonal.ai","FR","EMEA","customer-service","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","voice agent","AI powered automation for customer service interactions."
"Aflorithmic","aflorithmic.ai","UK","EMEA","ai-voice","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voice synthesis","Generates high-quality voice content using AI, focusing on audio production for various applications."
