company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"boost.ai","boost.ai","Norway","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI platform for automating customer interactions."
"Omilia","omilia.com","Greece","EMEA","any","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Offers a conversational AI platform for customer service automation."
"OneReach.ai","onereach.com","","EMEA","","ai-agent","customer","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai agent","Builds intelligent automation solutions for customer experience."
"plexusai.co","plexusai.co","UK","EMEA","healthcare","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","patient outreach","AI-powered patient engagement and communication platform for healthcare providers."
"Cleverly.ai","cleverly.ai","Germany","EMEA","hr-tech","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","AI-powered customer service automation platform that handles customer inquiries via voice."
"Untrite","untrite.com","ES","EMEA","customer support","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice agent","AI-powered voice agent for customer support and collections."
"Vocale.ai","vocale.ai","UK","EMEA","ai-voice","ai-agent","unverified","tier3","30","","voice_agent","conversational AI for voice customer experience","Conversational AI solutions for enhancing voice customer experiences."
"Webio","webio.com","IE","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Conversational AI for contact centers"
"Creative Virtual","creativevirtual.com","UK","EMEA","any","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides virtual assistant and chatbot solutions for customer service."
"Jacada","jacada.com","UK","EMEA","ai-voice","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","call center operations","Provides Robotic Process Automation and AI-powered customer service solutions, including virtual agents."
"Rasa","rasa.com","Germany","EMEA","any","voice-api","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides an open-source framework for building conversational AI assistants."
"OpenCall","opencall.ai","FR","EMEA","sales","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","ai call center","AI powered sales call recording and analytics platform for improving sales conversations."
"SentiSum","sentisum.com","UK","EMEA","any","ai-agent","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","ai agent","AI-powered customer service analytics and automation platform."
"Transcom","transcom.com","Sweden","EMEA","any","voice-ai","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center services","Global customer experience specialist providing contact center services."
"CPM International","cpm-int.com","UK","EMEA","BPO","voice-ai","validated","tier1","100","Contact-center / BPO / CX operators","cx_operators","contact center services","Outsourced sales and customer contact center services provider."
"Foundever","foundever.com","France","EMEA","ai-voice","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","contact center services","Global provider of customer experience (CX) solutions with contact center services."
"IPsoft","ipsoft.com","UK","EMEA","ai-voice","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provider of Amelia, a conversational AI platform for enterprise automation."
"Arthur.ai","arthur.ai","UK","EMEA","general","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Provides an AI agent platform focusing on automation and customer interaction."
"UQualio","uqualio.com","Netherlands","EMEA","general","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","AI-powered agent for customer engagement."
