company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"Observe.AI","observe.ai","India","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","AI-powered platform for contact center agent performance and customer insights."
"Gnani.ai","gnani.ai","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Offers conversational AI and voice AI solutions."
"Ozonetel","ozonetel.com","IN","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai","Cloud contact center platform with AI features."
"Skit.ai","skit.ai","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Voice AI automation platform for contact centers."
"Wiz.ai","wiz.ai","Singapore","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Conversational AI platform for healthcare."
"Glia","glia.com","JP","APAC","fintech","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Glia offers a Digital Communication Platform which includes voice and conversational AI solutions for customer service."
"Avaamo","avaamo.ai","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Enterprise AI platform for conversational interfaces and automation."
"Affinidi","affinidi.com","SG","APAC","fintech","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","verification","Decentralized identity solutions using blockchain."
"Commsforce","commsforce.com","AU","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","call center","Commsforce offers voice and AI solutions for businesses."
"PromptCloud","promptcloud.com","IN","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Offers data and AI solutions for contact centers."
"Observe AI","observe.ai","India","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","AI-powered platform for contact center quality assurance and performance improvement."
"Reverie Language Technologies","reverieinc.com","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Conversational AI platform for Indian languages."
"WNS Global Services","wns.com","India","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Business process management company, including contact center services and AI-powered automation."
"Startek","startek.com","India","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Provides outsourced contact center solutions focused on CX."
"Hinduja Global Solutions (HGS)","teamhgs.com","India","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Provides BPO and contact center services."
"Sitel Group Philippines","sitel.com","Philippines","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Global customer experience company providing contact center and customer service solutions."
"Quantela","quantela.com","India","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","AI-powered Contact Center for Customer Support"
"Osome","osome.com","Singapore","APAC","fintech","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer support","AI-powered accounting and compliance services, automating customer interactions."
"Active.Ai","active.ai","Singapore","APAC","fintech","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Conversational AI platform for financial institutions."
"Tookitaki","tookitaki.com","SG","APAC","fintech","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","verification","AI-powered anti-money laundering (AML) solutions."
"CXCentral","cxcentral.com.au","AU","APAC","technology","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","bpo","CX Central is a call centre industry news and information site."
"Ambi Robotics","ambirobotics.com","AU","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","call center","Robotic voice assistant for call center operations"
"Blys","getblys.com","Australia","APAC","healthtech","voice-api","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","scheduling","Blys connects customers with massage therapists, with a focus on automated scheduling and communication."
"Xdroid","xdroid.com","AU","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Call center software provider offering call analytics, automation, and quality monitoring tools."
"Uniphore","uniphore.com","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Conversational AI and automation for enterprise."
"Quantiphi","quantiphi.com","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","AI solutions and services provider for conversational AI."
"Qure.ai","qure.ai","India","APAC","healthtech","voice-ai","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","patient","AI solutions for healthcare, potentially needing voice communication."
"Better Opinions","betteropinions.in","IN","APAC","fintech","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","verification","Prediction market platform - may utilize voice for user verification or customer support"
"iEnergizer","ienergizer.com","IN","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","call center","BPO services, including call center and technology solutions with a focus on digital transformation."
"TaskUs","taskus.com","PH","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Provides outsourced customer support and contact center services, heavily leverages AI for automation"
"Rezo.ai","rezo.ai","IN","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","contact center automation","Develops AI-powered contact center automation solutions."
"Yellow.ai","yellow.ai","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Conversational AI platform offering voice and text automation."
"Aisera","aisera.com","India","APAC","technology","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer support","AI-driven service experience platform with voice."
"DataAnnotation.tech","dataannotation.tech","JP","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai","Provides high-quality data annotation services for AI and machine learning, potentially supporting voice AI development."
"ServisBOT","servisbot.com","Singapore","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Provides AI-powered virtual agents for customer service, including voicebots."
"Yactraq","yactraq.com","IN","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Provides conversational ai solutions for customer engagement"
"Aisensy","aisensy.com","IN","APAC","technology","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer support","Provides an AI customer service platform with virtual assistants."
"Wysa","wysa.io","India","APAC","healthcare","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","voice ai","AI-powered mental health chatbot."
"CometChat","cometchat.com","India","APAC","technology","voice-api","validated","tier2","70","Platform builders embedding telephony / voice automation","embedded_voice_platforms","calling","In-app voice and video chat platform"
"LeadSquared","leadsquared.com","IN","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","dialer","Sales execution platform with call center features"
"JustCall","justcall.io","IN","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","dialer","Cloud phone system for sales and support teams."
"Haptik","haptik.ai","India","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Conversational AI platform for building virtual assistants and chatbots."
"Wipro BPS","wipro.com","IN","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","BPO provider with significant contact center operations and focus on automation."
"Tech Mahindra BPS","techmahindra.com","IN","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","BPO provider with focus on digital transformation and contact center solutions."
"Concentrix India","concentrix.com","IN","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","BPO provider offering contact center and customer engagement solutions."
"eClerx","eclerx.com","IN","APAC","technology","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","bpo","Provides BPO and customer service, with AI for intelligent automation."
"Conneqt Business Solutions","conneqtcorp.com","IN","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","collections","Provides outsourced contact center services and BPO solutions."
"Allsec Technologies","allsectech.com","IN","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Contact center and BPO services."
"Sutherland Global Services","sutherlandglobal.com","IN","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","BPO and contact center solutions."
"Everise","weareeverise.com","SG","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Outsources contact center operations"
"Ava Security","avasecurity.com","Australia","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","call center","Integrates with call centers for audio analytics and security."
"Arise Virtual Solutions","arise.com","PH","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Contact center solutions"
"Inspiro","inspiro.com","PH","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Customer experience outsourcing and contact center services"
"Pine Labs","pinelabs.com","India","APAC","fintech","voice-api","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","customer support","Merchant commerce platform needing communication with merchants and customers."
"Niva Bupa Health Insurance","nivabupa.com","IN","APAC","healthcare","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","call center","Health insurance with customer service call center and claims processing"
"Practo","practo.com","India","APAC","healthtech","voice-api","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","appointment","Online doctor consultation and appointment booking platform."
"UJET (Australia)","ujet.com","AU","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Cloud contact center platform with AI and automation capabilities."
"Avaamo (India)","avaamo.ai","IN","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai","Enterprise AI conversational platform."
"Yellow.ai (India)","yellow.ai","IN","APAC","technology","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Conversational AI platform for automating customer experiences."
"Prompt Communications (Australia)","prompt.com.au","AU","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","contact center","Provider of contact center solutions with IVR and call routing."
"TeleApps (Australia)","teleapps.com.au","AU","APAC","technology","sip-trunking","validated","tier2","70","Platform builders embedding telephony / voice automation","embedded_voice_platforms","sip","TeleApps provide cloud hosted business phone systems with SIP trunking."
"LeadSquared (India)","leadsquared.com","IN","APAC","technology","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","call center","Marketing automation and CRM software with call center integration."
"Innovaccer","innovaccer.com","IN","APAC","healthcare","ai-agent","validated","tier2","70","Vertical software with phone-native workflows","vertical_phone_workflows","patient","Healthcare data platform with AI-powered patient outreach and engagement solutions."
"Wipro BPO","wipro.com","IN","APAC","technology","ai-agent","validated","tier2","70","Contact-center / BPO / CX operators","cx_operators","bpo","Provides BPO and customer service solutions, integrating with AI to improve operations."
