company,domain,country,region,vertical,productFit,status,confidenceTier,confidenceScore,archetype,evidenceType,evidenceSnippet,description
"NoonJi","noonji.com","France","EMEA","healthtech","voice-api","unverified","tier3","30","","phone_workflow","NoonJi provides mental health support through voice interaction.","Offers voice-based solutions for mental health support."
"Dialogica","dialogica.com","ES","EMEA","customer service","ai-agent","unverified","tier3","30","","voice_agent","Conversational AI solutions for customer support, sales, and marketing.","Develops AI-driven conversational solutions for customer service."
"Akur8","akur8.com","France","EMEA","insurtech","voice-ai","validated","tier3","70","","","","Pricing platform for insurance companies that could integrate with voice for claims processing or customer service."
"Sana Labs","sanalabs.com","Sweden","EMEA","general","voice-api","validated","tier3","70","","","","AI learning platform to enable voice-based interactions within the platform."
"ip-label","ip-label.com","France","EMEA","general","voice-api","validated","tier3","70","","","","Performance monitoring for applications, possibly including voice applications."
"SentiOne","sentione.com","PL","EMEA","any","ai-agent","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","AI-powered customer service automation platform with voicebot capabilities."
"CustomerGauge","customergauge.com","NL","EMEA","any","voice-api","validated","tier3","70","","","","Customer feedback platform that integrates with telephony systems."
"Wluper","wluper.com","UK","EMEA","any","ai-agent","validated","tier1","100","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides conversational AI platform for building voice and chat assistants."
"Talkpush","talkpush.com","","EMEA","","voice-api","validated","tier3","100","","","","Recruitment software using VoIP to automate phone interviews. Core business process is phone calls."
"Sabio","sabiogroup.com","GB","EMEA","any","voice-api","validated","tier3","70","","","","Contact center solutions"
"talkIQ.tech","talkiq.tech","UK","EMEA","CX Analytics","voice-api","validated","tier3","70","","","","Uses AI to analyze call recordings and provide insights for improving customer interactions."
"Unbabel","unbabel.com","PT","EMEA","any","voice-api","validated","tier3","70","","","","AI-powered translation platform that integrates with contact centers to provide real-time multilingual support."
"OneReach.ai","onereach.com","","EMEA","","ai-agent","customer","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Provides a conversational AI platform for automating customer interactions across various channels, including voice."
"Puzzel","puzzel.com","Norway","EMEA","any","voice-ai","validated","tier3","70","","","","Cloud contact center solutions with integrated voice and digital channels."
"Content Guru","contentguru.com","UK","EMEA","any","voice-api","validated","tier3","70","","","","Cloud contact center and customer engagement solutions."
"Sabio Group","sabiogroup.com","UK","EMEA","any","voice-ai","validated","tier3","70","","","","Provides contact center solutions and services including voice and AI integration."
"Ombea","ombea.com","Sweden","EMEA","any","voice-api","validated","tier3","70","","","","Feedback and interaction platform with voice of the customer analytics."
"SuperOffice","superoffice.com","Norway","EMEA","any","voice-api","validated","tier3","70","","","","CRM platform with potential for telephony integrations and AI-powered communication."
"Lemonade","lemonade.com","Netherlands","EMEA","insurtech","voice-ai","validated","tier1","90","AI agent / voice agent builders","ai_agent_builders","voice automation","AI-powered insurance company using chatbots for claims and customer support."
"Biobeats","biobeats.com","UK","EMEA","healthtech","voice-api","validated","tier3","100","","","","Developing predictive AI for mental wellness"
"By Miles","bymiles.co.uk","UK","EMEA","insurtech","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai-powered voice","Pay-by-mile car insurance using connected car data."
"Voiceweb","voiceweb.eu","Netherlands","EMEA","","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","conversational ai platform","Agent Assist. with Generative AI (GPT models) for suggesting the best-possible responses to contact center agents during their calls and chats. · Voice ..."
"Virtual Agent Suite","puzzel.com","Norway","EMEA","","voice-ai","validated","tier2","70","AI agent / voice agent builders","ai_agent_builders","ai agent","Smarter CX. Powered by AI. Give your customers the fast, tailored support they deserve with our suite of AI agents for chat, voice and email solutions."
